EXPLO_DATE,FULL_NAME,LENGTH,DUPLICATE_LENGTH,SURNAME,TOPO_DATE,SURVEYORS
2023-02-25,Pincemi2.CuevaPirates.106.UltimaPatagonia,101.33,0.0,"Centre Terre",2023-02-25,Brehier;Honiat;Clouzeau
2023-02-27,TraverseeDeLIndecision.106.UltimaPatagonia,107.72,0.0,"Centre Terre",2023-02-27,Honiat;Clouzeau;Meunier;Rives
2023-02-27,GrotteDeLAncien.107.UltimaPatagonia,710.42,0.0,"Centre Terre",2023-02-27,Tourte;Medvedieva;Mestre
2023-02-28,CPF.ReveEveille.106.UltimaPatagonia,34.68,0.0,"Centre Terre",2023-02-28,Honiat;Clouzeau;Meunier;Rives
2023-03-01,PorcheEden.106.UltimaPatagonia,76.09,0.0,"Centre Terre",2023-03-01,Morata-Calvo;Rives;Caillault
2023-03-02,Rhinalto.CuevaPirates.106.UltimaPatagonia,127.61,0.0,"Centre Terre",2023-03-02,Honiat;Clouzeau
2023-03-03,cpff.ReveEveille.106.UltimaPatagonia,155.62,0.0,"Centre Terre",2023-03-03,Honiat;Clouzeau;Meunier;Rives
2023-03-03,Casablanca.106.UltimaPatagonia,73.24,0.0,"Centre Terre",2023-03-03,Caillault;Boghossian;Boukhtal;Prieur-Drevon
2023-03-05,Actif0303.CuevaPirates.106.UltimaPatagonia,148.92,0.0,"Centre Terre",2023-03-05,Brehier;Morata-Calvo
2023-03-07,CuevaNoTime.106.UltimaPatagonia,437.2,0.0,"Centre Terre",2023-03-07,Tourte;Honiat;Clouzeau
2023-03-08,Arches_Perdues_55.AvenDesArchesPerdues.106.UltimaPatagonia,167.67,0.0,"Centre Terre",2023-03-08,Honiat;Honiat;Boukhtal
2023-03-08,Arches_Perdues_last.AvenDesArchesPerdues.106.UltimaPatagonia,119.5,0.0,"Centre Terre",2023-03-08,Honiat;Honiat;Boukhtal
2023-03-08,Arches_Perdues_Siphon_2.AvenDesArchesPerdues.106.UltimaPatagonia,38.73,0.0,"Centre Terre",2023-03-08,Honiat;Honiat;Boukhtal
2023-03-08,Suite.ReveEveille.106.UltimaPatagonia,140.33,0.0,"Centre Terre",2023-03-08,Tourte;Clouzeau;Rives;Medviedeva
